Iteration,MAE,RMSE,CVRMSE,WI,NSE
1,0.013855665358335332,0.060618275583380975,43.688041518267276,0.864777238191212,0.9088413551023828
2,0.011497697983026274,0.06669383782518284,48.066744358495,0.8898031444029303,0.8896525952770044
3,0.01130139515233254,0.06326449042435853,45.595188211674326,0.892628931538568,0.9007088059004845
4,0.014092211076857179,0.060848903079622464,43.85425646803425,0.8606761243282091,0.9081463936222525
5,0.013133400659396563,0.0604594311525292,43.573561156970094,0.8759986150857116,0.9093184742925403
6,0.01131627388813692,0.05772477523058298,41.60267431952076,0.8904977775912071,0.9173362303559855
7,0.012460097799316222,0.06106477875763791,44.00983967282123,0.8786666463481543,0.9074934933239924
8,0.014582739826380139,0.06669322463647155,48.06630242883567,0.8626375421985399,0.889654624354174
9,0.01187559402662766,0.0627598386670856,45.23148194138163,0.8858390941330521,0.9022865511784395
10,0.013748174591531577,0.06432708295722205,46.361006543620896,0.8654690616019844,0.8973453986373694
